
Basic assay information 
Assay ID: ,,,,314
Assay Started: ,,,,11/26/2019 5:35:23 PM
Assay Finished: ,,,,11/26/2019 5:37:18 PM
Assay Exported: ,,,,11/26/2019 5:52:43 PM
Protocol ID: ,,,,100129
Protocol Name: ,,,,384-well plate with the optimized 384 Corning (white plate)
Serial#: ,,,,="1050194"



Protocol information
Instrument nickname,,,,EnVision
Instrument serial number,,,,1050194
Assay started,,,,11/26/2019 5:35:23 PM
User,,,,N/A
Assay ID,,,,314
Protocol name,,,,384-well plate with the optimized 384 Corning (white plate)
Plate name,,,,384 Corning (white plate and bottom  cylindrical)

Labels:
Label name,,,,US LUM 384 (cps)
 Aperture:
 Aperture name,,,,384 Plate US Luminescence aperture




Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,"=""""",11.08,23.68,23.68,35.2,35.2,23.08,23.18,11/26/2019 5:37:01 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 384 (cps),0,48,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,
1,1,"="""="""""""",1,A24,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:04.564,324,0.1,3240,,
1,1,"="""="""""""",N/A,A24,-,N/A,0,0,0,0,0,N/A,N/A,N/A,3240.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B01,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:09.275,19488,0.1,194880,,
1,1,"="""="""""""",N/A,B01,-,N/A,0,0,0,0,0,N/A,N/A,N/A,194880,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B02,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:09.081,5012,0.1,50120,,
1,1,"="""="""""""",N/A,B02,-,N/A,0,0,0,0,0,N/A,N/A,N/A,50120,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B03,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:08.888,11096,0.1,110960,,
1,1,"="""="""""""",N/A,B03,-,N/A,0,0,0,0,0,N/A,N/A,N/A,110960,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B04,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:08.694,4060,0.1,40600,,
1,1,"="""="""""""",N/A,B04,-,N/A,0,0,0,0,0,N/A,N/A,N/A,40600,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B05,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:08.500,9760,0.1,97600,,
1,1,"="""="""""""",N/A,B05,-,N/A,0,0,0,0,0,N/A,N/A,N/A,97600,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B06,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:08.307,9696,0.1,96960,,
1,1,"="""="""""""",N/A,B06,-,N/A,0,0,0,0,0,N/A,N/A,N/A,96960,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B07,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:08.113,8868,0.1,88680,,
1,1,"="""="""""""",N/A,B07,-,N/A,0,0,0,0,0,N/A,N/A,N/A,88680,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B08,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:07.919,5916,0.1,59160,,
1,1,"="""="""""""",N/A,B08,-,N/A,0,0,0,0,0,N/A,N/A,N/A,59160,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B09,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:07.725,5632,0.1,56320,,
1,1,"="""="""""""",N/A,B09,-,N/A,0,0,0,0,0,N/A,N/A,N/A,56320,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B10,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:07.531,2924,0.1,29240,,
1,1,"="""="""""""",N/A,B10,-,N/A,0,0,0,0,0,N/A,N/A,N/A,29240,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B11,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:07.338,3720,0.1,37200,,
1,1,"="""="""""""",N/A,B11,-,N/A,0,0,0,0,0,N/A,N/A,N/A,37200,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B12,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:07.144,1496,0.1,14960,,
1,1,"="""="""""""",N/A,B12,-,N/A,0,0,0,0,0,N/A,N/A,N/A,14960,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B13,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:06.950,2884,0.1,28840,,
1,1,"="""="""""""",N/A,B13,-,N/A,0,0,0,0,0,N/A,N/A,N/A,28840,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B14,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:06.757,892,0.1,8920,,
1,1,"="""="""""""",N/A,B14,-,N/A,0,0,0,0,0,N/A,N/A,N/A,8920.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B15,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:06.563,2368,0.1,23680,,
1,1,"="""="""""""",N/A,B15,-,N/A,0,0,0,0,0,N/A,N/A,N/A,23680,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B16,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:06.369,608,0.1,6080,,
1,1,"="""="""""""",N/A,B16,-,N/A,0,0,0,0,0,N/A,N/A,N/A,6080.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B17,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:06.176,2112,0.1,21120,,
1,1,"="""="""""""",N/A,B17,-,N/A,0,0,0,0,0,N/A,N/A,N/A,21120,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B18,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:05.983,488,0.1,4880,,
1,1,"="""="""""""",N/A,B18,-,N/A,0,0,0,0,0,N/A,N/A,N/A,4880.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B19,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:05.789,2284,0.1,22840,,
1,1,"="""="""""""",N/A,B19,-,N/A,0,0,0,0,0,N/A,N/A,N/A,22840,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B20,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:05.595,472,0.1,4720,,
1,1,"="""="""""""",N/A,B20,-,N/A,0,0,0,0,0,N/A,N/A,N/A,4720.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B21,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:05.401,2876,0.1,28760,,
1,1,"="""="""""""",N/A,B21,-,N/A,0,0,0,0,0,N/A,N/A,N/A,28760,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B22,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:05.207,468,0.1,4680,,
1,1,"="""="""""""",N/A,B22,-,N/A,0,0,0,0,0,N/A,N/A,N/A,4680.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B23,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:05.014,2368,0.1,23680,,
1,1,"="""="""""""",N/A,B23,-,N/A,0,0,0,0,0,N/A,N/A,N/A,23680,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,B24,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:04.821,284,0.1,2840,,
1,1,"="""="""""""",N/A,B24,-,N/A,0,0,0,0,0,N/A,N/A,N/A,2840.0,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,C01,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:09.531,358112,0.1,3581120,,
1,1,"="""="""""""",N/A,C01,-,N/A,0,0,0,0,0,N/A,N/A,N/A,3581120,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,C02,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:09.724,13564,0.1,135640,,
1,1,"="""="""""""",N/A,C02,-,N/A,0,0,0,0,0,N/A,N/A,N/A,135640,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
