,time,row_384,column_384,rfu_value,standard_conc,replicate,sample_set,reporter
149,00:04:00,N,11,779.814,,b,no_gRNA,r17A-r3C
150,00:04:00,J,13,56.92100000000001,0.15625,a,standard,standard
151,00:04:00,K,13,51.229,0.15625,b,standard,standard
152,00:04:00,L,13,17.076,,a,target_added,H20
153,00:04:00,M,13,19.922,,a,no_target,H20
154,00:04:00,N,13,36.998000000000005,,a,no_gRNA,H20
155,00:04:00,J,15,65.459,0.078125,a,standard,standard
156,00:04:00,K,15,133.764,0.078125,b,standard,standard
157,00:04:00,L,15,19.922,,b,target_added,H20
158,00:04:00,M,15,22.768,,b,no_target,H20
159,00:04:00,N,15,19.922,,b,no_gRNA,H20
160,00:04:00,J,17,85.381,0.0390625,a,standard,standard
161,00:04:00,K,17,88.227,0.0390625,b,standard,standard
162,00:04:00,L,17,31.305999999999997,,,,
163,00:04:00,M,17,31.305999999999997,,,,
164,00:04:00,N,17,19.922,,,,
165,00:04:00,J,19,34.152,0.0195312,a,standard,standard
166,00:04:00,K,19,28.46,0.0195312,b,standard,standard
167,00:04:00,L,19,17.076,,,,
168,00:04:00,M,19,25.614,,,,
169,00:04:00,N,19,5.692,,,,
170,00:04:00,J,21,42.691,0.0097656,a,standard,standard
171,00:04:00,K,21,65.459,0.0097656,b,standard,standard
172,00:04:00,L,21,34.152,,,,
173,00:04:00,M,21,14.23,,,,
174,00:04:00,N,21,19.922,,,,
175,00:04:00,J,23,73.997,0,a,standard,standard
176,00:04:00,K,23,48.383,0,b,standard,standard
177,00:04:00,L,23,28.46,,,,
178,00:04:00,M,23,31.305999999999997,,,,
179,00:04:00,N,23,19.922,,,,
180,00:06:00,J,1,8475.868,10,a,standard,standard
181,00:06:00,K,1,7192.51,10,b,standard,standard
182,00:06:00,L,1,48.482,,a,target_added,r5A-GGAGG-phos
183,00:06:00,M,1,25.666999999999998,,a,no_target,r5A-GGAGG-phos
184,00:06:00,N,1,25.666999999999998,,a,no_gRNA,r5A-GGAGG-phos
