,time,row_384,column_384,rfu_value,replicate,target_added,reporter,phos,gRNA_used
159,00:30:00,H,8,178.24900000000002,b,no_target,RNA-FAM,phos,IVT-H6
160,00:30:00,E,10,229.858,a,target_added,RNA-FAM,phos,IVT-G8
161,00:30:00,F,10,239.74,a,target_added,RNA-FAM,phos,IVT-G8
162,00:30:00,G,10,194.77,b,no_target,RNA-FAM,phos,IVT-G8
163,00:30:00,H,10,186.67700000000002,b,no_target,RNA-FAM,phos,IVT-G8
164,00:30:00,E,12,267.472,a,target_added,RNA-FAM,phos,IVT-C4
165,00:30:00,F,12,283.623,a,target_added,RNA-FAM,phos,IVT-C4
166,00:30:00,G,12,176.468,b,no_target,RNA-FAM,phos,IVT-C4
167,00:30:00,H,12,176.655,b,no_target,RNA-FAM,phos,IVT-C4
168,00:30:00,E,14,293.712,a,target_added,RNA-FAM,no_phos,syn-11C
169,00:30:00,F,14,291.779,a,target_added,RNA-FAM,no_phos,syn-11C
170,00:30:00,G,14,222.378,b,no_target,RNA-FAM,no_phos,syn-11C
171,00:30:00,H,14,173.185,b,no_target,RNA-FAM,no_phos,syn-11C
172,00:30:00,E,16,320.965,a,target_added,RNA-FAM,no_phos,IVT-11C
173,00:30:00,F,16,315.405,a,target_added,RNA-FAM,no_phos,IVT-11C
174,00:30:00,G,16,186.737,b,no_target,RNA-FAM,no_phos,IVT-11C
175,00:30:00,H,16,185.877,b,no_target,RNA-FAM,no_phos,IVT-11C
176,00:30:00,E,18,234.44299999999998,a,target_added,RNA-FAM,no_phos,IVT-B1
177,00:30:00,F,18,236.053,a,target_added,RNA-FAM,no_phos,IVT-B1
178,00:30:00,G,18,186.78599999999997,b,no_target,RNA-FAM,no_phos,IVT-B1
179,00:30:00,H,18,192.405,b,no_target,RNA-FAM,no_phos,IVT-B1
180,00:30:00,E,20,289.506,a,target_added,RNA-FAM,no_phos,IVT-H6
181,00:30:00,F,20,295.83799999999997,a,target_added,RNA-FAM,no_phos,IVT-H6
182,00:30:00,G,20,184.12,b,no_target,RNA-FAM,no_phos,IVT-H6
183,00:30:00,H,20,198.166,b,no_target,RNA-FAM,no_phos,IVT-H6
184,00:30:00,E,22,242.31900000000002,a,target_added,RNA-FAM,no_phos,IVT-G8
185,00:30:00,F,22,227.53,a,target_added,RNA-FAM,no_phos,IVT-G8
186,00:30:00,G,22,190.305,b,no_target,RNA-FAM,no_phos,IVT-G8
187,00:30:00,H,22,196.345,b,no_target,RNA-FAM,no_phos,IVT-G8
188,00:30:00,E,24,263.673,a,target_added,RNA-FAM,no_phos,IVT-C4
189,00:30:00,F,24,274.781,a,target_added,RNA-FAM,no_phos,IVT-C4
190,00:30:00,G,24,184.77900000000002,b,no_target,RNA-FAM,no_phos,IVT-C4
191,00:30:00,H,24,190.31099999999998,b,no_target,RNA-FAM,no_phos,IVT-C4
192,00:40:00,E,2,352.19199999999995,a,target_added,RNA-FAM,phos,syn-11C
193,00:40:00,F,2,357.00199999999995,a,target_added,RNA-FAM,phos,syn-11C
194,00:40:00,G,2,177.455,b,no_target,RNA-FAM,phos,syn-11C
195,00:40:00,H,2,180.37400000000002,b,no_target,RNA-FAM,phos,syn-11C
196,00:40:00,E,4,363.77,a,target_added,RNA-FAM,phos,IVT-11C
197,00:40:00,F,4,428.86400000000003,a,target_added,RNA-FAM,phos,IVT-11C
198,00:40:00,G,4,172.347,b,no_target,RNA-FAM,phos,IVT-11C
199,00:40:00,H,4,173.22799999999998,b,no_target,RNA-FAM,phos,IVT-11C
200,00:40:00,E,6,225.678,a,target_added,RNA-FAM,phos,IVT-B1
201,00:40:00,F,6,232.92700000000002,a,target_added,RNA-FAM,phos,IVT-B1
202,00:40:00,G,6,179.71900000000002,b,no_target,RNA-FAM,phos,IVT-B1
203,00:40:00,H,6,179.077,b,no_target,RNA-FAM,phos,IVT-B1
204,00:40:00,E,8,358.57,a,target_added,RNA-FAM,phos,IVT-H6
205,00:40:00,F,8,342.139,a,target_added,RNA-FAM,phos,IVT-H6
206,00:40:00,G,8,173.067,b,no_target,RNA-FAM,phos,IVT-H6
207,00:40:00,H,8,177.99900000000002,b,no_target,RNA-FAM,phos,IVT-H6
208,00:40:00,E,10,250.49400000000003,a,target_added,RNA-FAM,phos,IVT-G8
209,00:40:00,F,10,260.181,a,target_added,RNA-FAM,phos,IVT-G8
210,00:40:00,G,10,193.862,b,no_target,RNA-FAM,phos,IVT-G8
211,00:40:00,H,10,188.016,b,no_target,RNA-FAM,phos,IVT-G8
212,00:40:00,E,12,304.13599999999997,a,target_added,RNA-FAM,phos,IVT-C4
213,00:40:00,F,12,321.315,a,target_added,RNA-FAM,phos,IVT-C4
214,00:40:00,G,12,174.23,b,no_target,RNA-FAM,phos,IVT-C4
215,00:40:00,H,12,177.019,b,no_target,RNA-FAM,phos,IVT-C4
216,00:40:00,E,14,334.457,a,target_added,RNA-FAM,no_phos,syn-11C
217,00:40:00,F,14,336.806,a,target_added,RNA-FAM,no_phos,syn-11C
218,00:40:00,G,14,234.493,b,no_target,RNA-FAM,no_phos,syn-11C
219,00:40:00,H,14,170.771,b,no_target,RNA-FAM,no_phos,syn-11C
220,00:40:00,E,16,376.30400000000003,a,target_added,RNA-FAM,no_phos,IVT-11C
221,00:40:00,F,16,370.721,a,target_added,RNA-FAM,no_phos,IVT-11C
222,00:40:00,G,16,186.225,b,no_target,RNA-FAM,no_phos,IVT-11C
223,00:40:00,H,16,185.722,b,no_target,RNA-FAM,no_phos,IVT-11C
224,00:40:00,E,18,252.396,a,target_added,RNA-FAM,no_phos,IVT-B1
225,00:40:00,F,18,253.91,a,target_added,RNA-FAM,no_phos,IVT-B1
226,00:40:00,G,18,187.852,b,no_target,RNA-FAM,no_phos,IVT-B1
227,00:40:00,H,18,191.56599999999997,b,no_target,RNA-FAM,no_phos,IVT-B1
228,00:40:00,E,20,327.755,a,target_added,RNA-FAM,no_phos,IVT-H6
229,00:40:00,F,20,329.24800000000005,a,target_added,RNA-FAM,no_phos,IVT-H6
230,00:40:00,G,20,183.80200000000002,b,no_target,RNA-FAM,no_phos,IVT-H6
231,00:40:00,H,20,197.832,b,no_target,RNA-FAM,no_phos,IVT-H6
232,00:40:00,E,22,258.29,a,target_added,RNA-FAM,no_phos,IVT-G8
233,00:40:00,F,22,243.78400000000002,a,target_added,RNA-FAM,no_phos,IVT-G8
234,00:40:00,G,22,190.672,b,no_target,RNA-FAM,no_phos,IVT-G8
235,00:40:00,H,22,195.47099999999998,b,no_target,RNA-FAM,no_phos,IVT-G8
236,00:40:00,E,24,297.056,a,target_added,RNA-FAM,no_phos,IVT-C4
237,00:40:00,F,24,306.89099999999996,a,target_added,RNA-FAM,no_phos,IVT-C4
238,00:40:00,G,24,184.877,b,no_target,RNA-FAM,no_phos,IVT-C4
239,00:40:00,H,24,190.58700000000002,b,no_target,RNA-FAM,no_phos,IVT-C4
240,00:50:00,E,2,400.805,a,target_added,RNA-FAM,phos,syn-11C
241,00:50:00,F,2,408.528,a,target_added,RNA-FAM,phos,syn-11C
242,00:50:00,G,2,174.58599999999998,b,no_target,RNA-FAM,phos,syn-11C
243,00:50:00,H,2,178.87099999999998,b,no_target,RNA-FAM,phos,syn-11C
244,00:50:00,E,4,413.911,a,target_added,RNA-FAM,phos,IVT-11C
245,00:50:00,F,4,491.01,a,target_added,RNA-FAM,phos,IVT-11C
246,00:50:00,G,4,171.44099999999997,b,no_target,RNA-FAM,phos,IVT-11C
247,00:50:00,H,4,171.78400000000002,b,no_target,RNA-FAM,phos,IVT-11C
248,00:50:00,E,6,239.748,a,target_added,RNA-FAM,phos,IVT-B1
249,00:50:00,F,6,251.196,a,target_added,RNA-FAM,phos,IVT-B1
250,00:50:00,G,6,176.511,b,no_target,RNA-FAM,phos,IVT-B1
251,00:50:00,H,6,175.53,b,no_target,RNA-FAM,phos,IVT-B1
252,00:50:00,E,8,398.962,a,target_added,RNA-FAM,phos,IVT-H6
253,00:50:00,F,8,376.41900000000004,a,target_added,RNA-FAM,phos,IVT-H6
254,00:50:00,G,8,172.854,b,no_target,RNA-FAM,phos,IVT-H6
255,00:50:00,H,8,176.21,b,no_target,RNA-FAM,phos,IVT-H6
