,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,gRNA,target_DNA,target_DNA_input_concentration,target_DNA_input_DNA_molecules,hours,minutes,seconds,cas12a_timing,cas12a_minutes
6132,05:10:00,E,23,95.97200000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,10,00,30mins,30
6134,05:10:00,G,23,91.675,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,10,00,1hr,60
6136,05:10:00,I,23,88.81,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,10,00,2hr,120
6138,05:10:00,K,23,71.62100000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,10,00,3hr,180
6140,05:10:00,M,23,84.51299999999999,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,05,10,00,3hr,180
6142,05:10:00,O,23,12.892000000000001,,,,r17U-TTATT-phos,,,,,05,10,00,,
6144,05:20:00,A,1,1476.1,a,NANCI_UMP_standard,10,,,,,,05,20,00,NANCI_UMP_standard,0
6145,05:20:00,B,1,1555.151,b,NANCI_UMP_standard,10,,,,,,05,20,00,NANCI_UMP_standard,0
6146,05:20:00,C,1,1474.662,c,NANCI_UMP_standard,10,,,,,,05,20,00,NANCI_UMP_standard,0
6148,05:20:00,E,1,1486.161,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,30mins,30
6150,05:20:00,G,1,1890.04,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,1hr,60
6152,05:20:00,I,1,3039.8740000000003,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,2hr,120
6154,05:20:00,K,1,3123.238,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6156,05:20:00,M,1,29471.689,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6158,05:20:00,O,1,34198.949,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6160,05:20:00,A,3,730.145,a,NANCI_UMP_standard,5,,,,,,05,20,00,NANCI_UMP_standard,0
6161,05:20:00,B,3,750.2669999999999,b,NANCI_UMP_standard,5,,,,,,05,20,00,NANCI_UMP_standard,0
6162,05:20:00,C,3,731.582,c,NANCI_UMP_standard,5,,,,,,05,20,00,NANCI_UMP_standard,0
6164,05:20:00,E,3,222.78,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,30mins,30
6166,05:20:00,G,3,291.77,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,1hr,60
6168,05:20:00,I,3,441.249,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,2hr,120
6170,05:20:00,K,3,567.731,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,3hr,180
6172,05:20:00,M,3,27325.814,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,05,20,00,3hr,180
6174,05:20:00,O,3,29504.748,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,05,20,00,3hr,180
6176,05:20:00,A,5,375.13300000000004,a,NANCI_UMP_standard,2.5,,,,,,05,20,00,NANCI_UMP_standard,0
6177,05:20:00,B,5,396.69300000000004,b,NANCI_UMP_standard,2.5,,,,,,05,20,00,NANCI_UMP_standard,0
6178,05:20:00,C,5,446.99800000000005,c,NANCI_UMP_standard,2.5,,,,,,05,20,00,NANCI_UMP_standard,0
6180,05:20:00,E,5,100.611,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,30mins,30
6182,05:20:00,G,5,106.36,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,1hr,60
6184,05:20:00,I,5,116.421,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,2hr,120
6186,05:20:00,K,5,136.543,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,3hr,180
6188,05:20:00,M,5,13358.2,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,05,20,00,3hr,180
6190,05:20:00,O,5,15082.951000000001,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,05,20,00,3hr,180
6192,05:20:00,A,7,215.59400000000002,a,NANCI_UMP_standard,1.25,,,,,,05,20,00,NANCI_UMP_standard,0
6193,05:20:00,B,7,217.03099999999998,b,NANCI_UMP_standard,1.25,,,,,,05,20,00,NANCI_UMP_standard,0
6194,05:20:00,C,7,205.533,c,NANCI_UMP_standard,1.25,,,,,,05,20,00,NANCI_UMP_standard,0
6196,05:20:00,E,7,79.051,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,30mins,30
6198,05:20:00,G,7,90.54899999999999,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,1hr,60
6200,05:20:00,I,7,79.051,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,2hr,120
6202,05:20:00,K,7,91.98700000000001,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,3hr,180
6204,05:20:00,M,7,13884.25,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,05,20,00,3hr,180
6206,05:20:00,O,7,15499.767,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,05,20,00,3hr,180
6208,05:20:00,A,9,117.85799999999999,a,NANCI_UMP_standard,0.625,,,,,,05,20,00,NANCI_UMP_standard,0
6209,05:20:00,B,9,96.29899999999999,b,NANCI_UMP_standard,0.625,,,,,,05,20,00,NANCI_UMP_standard,0
6210,05:20:00,C,9,107.79700000000001,c,NANCI_UMP_standard,0.625,,,,,,05,20,00,NANCI_UMP_standard,0
6212,05:20:00,E,9,1532.154,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,30mins,30
6214,05:20:00,G,9,1913.037,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,1hr,60
6216,05:20:00,I,9,3140.485,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,2hr,120
6218,05:20:00,K,9,3078.6820000000002,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6220,05:20:00,M,9,61.803999999999995,a,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6222,05:20:00,O,9,63.24100000000001,c,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,,,05,20,00,3hr,180
6224,05:20:00,A,11,61.803999999999995,a,NANCI_UMP_standard,0.3125,,,,,,05,20,00,NANCI_UMP_standard,0
6225,05:20:00,B,11,67.553,b,NANCI_UMP_standard,0.3125,,,,,,05,20,00,NANCI_UMP_standard,0
6226,05:20:00,C,11,57.492,c,NANCI_UMP_standard,0.3125,,,,,,05,20,00,NANCI_UMP_standard,0
6228,05:20:00,E,11,221.343,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,30mins,30
6230,05:20:00,G,11,307.58099999999996,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,1hr,60
6232,05:20:00,I,11,482.93,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,2hr,120
6234,05:20:00,K,11,630.972,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,3hr,180
6236,05:20:00,M,11,99.17299999999999,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,05,20,00,3hr,180
6238,05:20:00,O,11,79.051,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,,,05,20,00,3hr,180
6240,05:20:00,A,13,58.928999999999995,a,NANCI_UMP_standard,0.15625,,,,,,05,20,00,NANCI_UMP_standard,0
6241,05:20:00,B,13,43.119,b,NANCI_UMP_standard,0.15625,,,,,,05,20,00,NANCI_UMP_standard,0
6242,05:20:00,C,13,22.997,c,NANCI_UMP_standard,0.15625,,,,,,05,20,00,NANCI_UMP_standard,0
6244,05:20:00,E,13,94.861,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,30mins,30
6246,05:20:00,G,13,114.98299999999999,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,1hr,60
6248,05:20:00,I,13,145.167,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,2hr,120
6250,05:20:00,K,13,113.546,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,3hr,180
6252,05:20:00,M,13,28764.542999999998,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6254,05:20:00,O,13,22.997,,,,r17U-TTATT-phos,,,,,05,20,00,,
6256,05:20:00,A,15,34.495,a,NANCI_UMP_standard,0.078125,,,,,,05,20,00,NANCI_UMP_standard,0
6257,05:20:00,B,15,24.434,b,NANCI_UMP_standard,0.078125,,,,,,05,20,00,NANCI_UMP_standard,0
6258,05:20:00,C,15,27.309,c,NANCI_UMP_standard,0.078125,,,,,,05,20,00,NANCI_UMP_standard,0
6260,05:20:00,E,15,89.11200000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,30mins,30
6262,05:20:00,G,15,68.99,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,1hr,60
6264,05:20:00,I,15,89.11200000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,2hr,120
6266,05:20:00,K,15,107.79700000000001,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,3hr,180
6268,05:20:00,M,15,31035.467,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,05,20,00,3hr,180
6270,05:20:00,O,15,17.248,,,,r17U-TTATT-phos,,,,,05,20,00,,
6272,05:20:00,A,17,24.434,a,NANCI_UMP_standard,0.0390625,,,,,,05,20,00,NANCI_UMP_standard,0
6273,05:20:00,B,17,17.248,b,NANCI_UMP_standard,0.0390625,,,,,,05,20,00,NANCI_UMP_standard,0
6274,05:20:00,C,17,18.685,c,NANCI_UMP_standard,0.0390625,,,,,,05,20,00,NANCI_UMP_standard,0
6276,05:20:00,E,17,1394.174,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,30mins,30
6278,05:20:00,G,17,1917.349,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,1hr,60
6280,05:20:00,I,17,2759.6020000000003,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,2hr,120
6282,05:20:00,K,17,3095.929,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6284,05:20:00,M,17,8123.579000000001,b,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,05,20,00,3hr,180
6286,05:20:00,O,17,14.373,,,,r17U-TTATT-phos,,,,,05,20,00,,
6288,05:20:00,A,19,25.871,a,NANCI_UMP_standard,0.0195312,,,,,,05,20,00,NANCI_UMP_standard,0
6289,05:20:00,B,19,21.559,b,NANCI_UMP_standard,0.0195312,,,,,,05,20,00,NANCI_UMP_standard,0
6290,05:20:00,C,19,24.434,c,NANCI_UMP_standard,0.0195312,,,,,,05,20,00,NANCI_UMP_standard,0
6292,05:20:00,E,19,241.465,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,30mins,30
6294,05:20:00,G,19,277.39799999999997,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,1hr,60
6296,05:20:00,I,19,448.435,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,2hr,120
6298,05:20:00,K,19,613.724,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,20,00,3hr,180
6300,05:20:00,M,19,13384.071000000002,b,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,05,20,00,3hr,180
6302,05:20:00,O,19,14.373,,,,r17U-TTATT-phos,,,,,05,20,00,,
6304,05:20:00,A,21,25.871,a,NANCI_UMP_standard,0.0097656,,,,,,05,20,00,NANCI_UMP_standard,0
6305,05:20:00,B,21,28.746,b,NANCI_UMP_standard,0.0097656,,,,,,05,20,00,NANCI_UMP_standard,0
6306,05:20:00,C,21,21.559,c,NANCI_UMP_standard,0.0097656,,,,,,05,20,00,NANCI_UMP_standard,0
6308,05:20:00,E,21,102.04799999999999,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,30mins,30
6310,05:20:00,G,21,79.051,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,1hr,60
6312,05:20:00,I,21,117.85799999999999,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,2hr,120
6314,05:20:00,K,21,136.543,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,20,00,3hr,180
6316,05:20:00,M,21,74.73899999999999,b,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,05,20,00,3hr,180
6318,05:20:00,O,21,14.373,,,,r17U-TTATT-phos,,,,,05,20,00,,
6320,05:20:00,A,23,22.997,a,NANCI_UMP_standard,0,,,,,,05,20,00,NANCI_UMP_standard,0
6321,05:20:00,B,23,24.434,b,NANCI_UMP_standard,0,,,,,,05,20,00,NANCI_UMP_standard,0
6322,05:20:00,C,23,20.122,c,NANCI_UMP_standard,0,,,,,,05,20,00,NANCI_UMP_standard,0
6324,05:20:00,E,23,67.553,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,30mins,30
6326,05:20:00,G,23,107.79700000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,1hr,60
6328,05:20:00,I,23,80.488,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,2hr,120
6330,05:20:00,K,23,84.8,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,20,00,3hr,180
6332,05:20:00,M,23,56.053999999999995,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,05,20,00,3hr,180
6334,05:20:00,O,23,7.186,,,,r17U-TTATT-phos,,,,,05,20,00,,
6336,05:30:00,A,1,1493.0639999999999,a,NANCI_UMP_standard,10,,,,,,05,30,00,NANCI_UMP_standard,0
6337,05:30:00,B,1,1556.172,b,NANCI_UMP_standard,10,,,,,,05,30,00,NANCI_UMP_standard,0
6338,05:30:00,C,1,1547.566,c,NANCI_UMP_standard,10,,,,,,05,30,00,NANCI_UMP_standard,0
6340,05:30:00,E,1,1488.7620000000002,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,30mins,30
6342,05:30:00,G,1,1896.092,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,1hr,60
6344,05:30:00,I,1,3039.197,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,2hr,120
6346,05:30:00,K,1,3079.3559999999998,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,3hr,180
6348,05:30:00,M,1,28098.586,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,05,30,00,3hr,180
6350,05:30:00,O,1,32171.882999999998,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,05,30,00,3hr,180
6352,05:30:00,A,3,735.775,a,NANCI_UMP_standard,5,,,,,,05,30,00,NANCI_UMP_standard,0
6353,05:30:00,B,3,701.3530000000001,b,NANCI_UMP_standard,5,,,,,,05,30,00,NANCI_UMP_standard,0
6354,05:30:00,C,3,763.0260000000001,c,NANCI_UMP_standard,5,,,,,,05,30,00,NANCI_UMP_standard,0
6356,05:30:00,E,3,197.928,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,30mins,30
6358,05:30:00,G,3,282.54900000000004,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,1hr,60
6360,05:30:00,I,3,489.083,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,2hr,120
6362,05:30:00,K,3,567.967,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,3hr,180
6364,05:30:00,M,3,25886.957000000002,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,05,30,00,3hr,180
6366,05:30:00,O,3,28593.404,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,05,30,00,3hr,180
6368,05:30:00,A,5,355.69599999999997,a,NANCI_UMP_standard,2.5,,,,,,05,30,00,NANCI_UMP_standard,0
6369,05:30:00,B,5,413.06699999999995,b,NANCI_UMP_standard,2.5,,,,,,05,30,00,NANCI_UMP_standard,0
6370,05:30:00,C,5,364.30199999999996,c,NANCI_UMP_standard,2.5,,,,,,05,30,00,NANCI_UMP_standard,0
6372,05:30:00,E,5,96.095,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,30mins,30
6374,05:30:00,G,5,104.70100000000001,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,1hr,60
6376,05:30:00,I,5,104.70100000000001,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,2hr,120
6378,05:30:00,K,5,127.649,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,3hr,180
6380,05:30:00,M,5,12485.232,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,05,30,00,3hr,180
6382,05:30:00,O,5,14072.958,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,05,30,00,3hr,180
6384,05:30:00,A,7,212.27,a,NANCI_UMP_standard,1.25,,,,,,05,30,00,NANCI_UMP_standard,0
6385,05:30:00,B,7,223.745,b,NANCI_UMP_standard,1.25,,,,,,05,30,00,NANCI_UMP_standard,0
6386,05:30:00,C,7,207.968,c,NANCI_UMP_standard,1.25,,,,,,05,30,00,NANCI_UMP_standard,0
6388,05:30:00,E,7,80.319,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,30,00,30mins,30
6390,05:30:00,G,7,130.518,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,30,00,1hr,60
6392,05:30:00,I,7,91.79299999999999,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,30,00,2hr,120
6394,05:30:00,K,7,87.49,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,30,00,3hr,180
6396,05:30:00,M,7,13279.812,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,05,30,00,3hr,180
6398,05:30:00,O,7,14610.805,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,05,30,00,3hr,180
6400,05:30:00,A,9,114.741,a,NANCI_UMP_standard,0.625,,,,,,05,30,00,NANCI_UMP_standard,0
6401,05:30:00,B,9,96.095,b,NANCI_UMP_standard,0.625,,,,,,05,30,00,NANCI_UMP_standard,0
6402,05:30:00,C,9,131.952,c,NANCI_UMP_standard,0.625,,,,,,05,30,00,NANCI_UMP_standard,0
6404,05:30:00,E,9,1434.26,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,30mins,30
6406,05:30:00,G,9,1775.614,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,1hr,60
6408,05:30:00,I,9,3086.527,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,2hr,120
6410,05:30:00,K,9,3162.5429999999997,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,05,30,00,3hr,180
6412,05:30:00,M,9,71.71300000000001,a,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,05,30,00,3hr,180
6414,05:30:00,O,9,65.976,c,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,,,05,30,00,3hr,180
6416,05:30:00,A,11,60.239,a,NANCI_UMP_standard,0.3125,,,,,,05,30,00,NANCI_UMP_standard,0
6417,05:30:00,B,11,83.18700000000001,b,NANCI_UMP_standard,0.3125,,,,,,05,30,00,NANCI_UMP_standard,0
6418,05:30:00,C,11,70.279,c,NANCI_UMP_standard,0.3125,,,,,,05,30,00,NANCI_UMP_standard,0
6420,05:30:00,E,11,232.35,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,30mins,30
6422,05:30:00,G,11,325.577,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,1hr,60
6424,05:30:00,I,11,477.60900000000004,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,2hr,120
6426,05:30:00,K,11,626.7719999999999,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,05,30,00,3hr,180
6428,05:30:00,M,11,91.79299999999999,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,05,30,00,3hr,180
6430,05:30:00,O,11,84.62100000000001,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,,,05,30,00,3hr,180
6432,05:30:00,A,13,54.501999999999995,a,NANCI_UMP_standard,0.15625,,,,,,05,30,00,NANCI_UMP_standard,0
6433,05:30:00,B,13,54.501999999999995,b,NANCI_UMP_standard,0.15625,,,,,,05,30,00,NANCI_UMP_standard,0
6434,05:30:00,C,13,44.461999999999996,c,NANCI_UMP_standard,0.15625,,,,,,05,30,00,NANCI_UMP_standard,0
6436,05:30:00,E,13,88.92399999999999,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,30mins,30
6438,05:30:00,G,13,90.35799999999999,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,1hr,60
6440,05:30:00,I,13,86.056,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,2hr,120
6442,05:30:00,K,13,117.609,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,05,30,00,3hr,180
6444,05:30:00,M,13,27470.381,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,05,30,00,3hr,180
6446,05:30:00,O,13,21.514,,,,r17U-TTATT-phos,,,,,05,30,00,,
6448,05:30:00,A,15,28.685,a,NANCI_UMP_standard,0.078125,,,,,,05,30,00,NANCI_UMP_standard,0
6449,05:30:00,B,15,28.685,b,NANCI_UMP_standard,0.078125,,,,,,05,30,00,NANCI_UMP_standard,0
6450,05:30:00,C,15,34.422,c,NANCI_UMP_standard,0.078125,,,,,,05,30,00,NANCI_UMP_standard,0
6452,05:30:00,E,15,70.279,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,30,00,30mins,30
6454,05:30:00,G,15,74.582,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,05,30,00,1hr,60
