,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,gRNA,target_DNA,target_DNA_input_concentration,target_DNA_input_DNA_molecules,hours,minutes,seconds,cas12a_timing,cas12a_minutes
146,00:00:00,C,19,46.717,c,NANCI_UMP_standard,0.0195312,,,,,,00,00,00,NANCI_UMP_standard,0
148,00:00:00,E,19,499.726,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,30mins,30
150,00:00:00,G,19,617.225,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,1hr,60
152,00:00:00,I,19,932.916,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,2hr,120
154,00:00:00,K,19,1312.3110000000001,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,3hr,180
156,00:00:00,M,19,286423.594,b,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,00,00,00,3hr,180
158,00:00:00,O,19,80.692,,,,r17U-TTATT-phos,,,,,00,00,00,,
160,00:00:00,A,21,45.301,a,NANCI_UMP_standard,0.0097656,,,,,,00,00,00,NANCI_UMP_standard,0
161,00:00:00,B,21,21.235,b,NANCI_UMP_standard,0.0097656,,,,,,00,00,00,NANCI_UMP_standard,0
162,00:00:00,C,21,39.638000000000005,c,NANCI_UMP_standard,0.0097656,,,,,,00,00,00,NANCI_UMP_standard,0
164,00:00:00,E,21,168.463,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,30mins,30
166,00:00:00,G,21,174.125,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,1hr,60
168,00:00:00,I,21,216.595,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,2hr,120
170,00:00:00,K,21,293.04,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,3hr,180
172,00:00:00,M,21,159.969,b,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
174,00:00:00,O,21,45.301,,,,r17U-TTATT-phos,,,,,00,00,00,,
176,00:00:00,A,23,22.65,a,NANCI_UMP_standard,0,,,,,,00,00,00,NANCI_UMP_standard,0
177,00:00:00,B,23,33.976,b,NANCI_UMP_standard,0,,,,,,00,00,00,NANCI_UMP_standard,0
178,00:00:00,C,23,41.053999999999995,c,NANCI_UMP_standard,0,,,,,,00,00,00,NANCI_UMP_standard,0
180,00:00:00,E,23,144.39700000000002,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,30mins,30
182,00:00:00,G,23,127.40899999999999,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,1hr,60
184,00:00:00,I,23,125.993,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,2hr,120
186,00:00:00,K,23,155.722,c,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,3hr,180
188,00:00:00,M,23,134.487,b,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,00,00,00,3hr,180
190,00:00:00,O,23,49.548,,,,r17U-TTATT-phos,,,,,00,00,00,,
192,00:10:00,A,1,3624.9040000000005,a,NANCI_UMP_standard,10,,,,,,00,10,00,NANCI_UMP_standard,0
193,00:10:00,B,1,3740.072,b,NANCI_UMP_standard,10,,,,,,00,10,00,NANCI_UMP_standard,0
194,00:10:00,C,1,3777.5009999999997,c,NANCI_UMP_standard,10,,,,,,00,10,00,NANCI_UMP_standard,0
196,00:10:00,E,1,3162.7940000000003,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,30mins,30
198,00:10:00,G,1,4379.253,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,1hr,60
200,00:10:00,I,1,7133.201,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,2hr,120
202,00:10:00,K,1,7539.1669999999995,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,10,00,3hr,180
204,00:10:00,M,1,262907.75,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,00,10,00,3hr,180
206,00:10:00,O,1,283393.219,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,00,10,00,3hr,180
208,00:10:00,A,3,1697.2839999999999,a,NANCI_UMP_standard,5,,,,,,00,10,00,NANCI_UMP_standard,0
209,00:10:00,B,3,1812.4520000000002,b,NANCI_UMP_standard,5,,,,,,00,10,00,NANCI_UMP_standard,0
210,00:10:00,C,3,1857.08,c,NANCI_UMP_standard,5,,,,,,00,10,00,NANCI_UMP_standard,0
212,00:10:00,E,3,401.647,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,30mins,30
214,00:10:00,G,3,577.278,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,1hr,60
216,00:10:00,I,3,965.9689999999999,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,2hr,120
218,00:10:00,K,3,1223.657,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,10,00,3hr,180
220,00:10:00,M,3,257823.109,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,00,10,00,3hr,180
222,00:10:00,O,3,268313.437,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,00,10,00,3hr,180
224,00:10:00,A,5,850.802,a,NANCI_UMP_standard,2.5,,,,,,00,10,00,NANCI_UMP_standard,0
225,00:10:00,B,5,905.5060000000001,b,NANCI_UMP_standard,2.5,,,,,,00,10,00,NANCI_UMP_standard,0
226,00:10:00,C,5,919.9019999999999,c,NANCI_UMP_standard,2.5,,,,,,00,10,00,NANCI_UMP_standard,0
228,00:10:00,E,5,200.104,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,30mins,30
230,00:10:00,G,5,188.58700000000002,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,1hr,60
232,00:10:00,I,5,240.41299999999998,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,10,00,2hr,120
