,experiment,read,read_number,row,column,well,rfu_value,sample_set,concentration,concentration_target_molecules,concentration_target_molecules_number
65,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,3,B3,1438.69,NANCY_DREW,4nM,2.4E9,2.4E9
66,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,4,B4,1347.78,NANCY_DREW,400pM,2.4E8,2.4E8
67,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,4,B4,1345.48,NANCY_DREW,400pM,2.4E8,2.4E8
68,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,4,B4,1346.08,NANCY_DREW,400pM,2.4E8,2.4E8
69,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,4,B4,1322.77,NANCY_DREW,400pM,2.4E8,2.4E8
70,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,4,B4,1334.77,NANCY_DREW,400pM,2.4E8,2.4E8
71,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,4,B4,1327.57,NANCY_DREW,400pM,2.4E8,2.4E8
72,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,5,B5,1352.18,NANCY_DREW,40pM,2.4E7,2.4E7
73,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,5,B5,1353.98,NANCY_DREW,40pM,2.4E7,2.4E7
74,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,5,B5,1344.88,NANCY_DREW,40pM,2.4E7,2.4E7
75,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,5,B5,1342.98,NANCY_DREW,40pM,2.4E7,2.4E7
76,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,5,B5,1368.78,NANCY_DREW,40pM,2.4E7,2.4E7
77,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,5,B5,1337.98,NANCY_DREW,40pM,2.4E7,2.4E7
78,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,6,B6,1416.28,NANCY_DREW,4pM,2.4E6,2.4E6
79,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,6,B6,1346.28,NANCY_DREW,4pM,2.4E6,2.4E6
80,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,6,B6,1390.58,NANCY_DREW,4pM,2.4E6,2.4E6
81,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,6,B6,1331.67,NANCY_DREW,4pM,2.4E6,2.4E6
82,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,6,B6,1356.28,NANCY_DREW,4pM,2.4E6,2.4E6
83,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,6,B6,1326.37,NANCY_DREW,4pM,2.4E6,2.4E6
84,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,B,7,B7,2449.75,NANCY_DREW,400fM,2.4E5,2.4E5
85,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,B,7,B7,2434.15,NANCY_DREW,400fM,2.4E5,2.4E5
86,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,B,7,B7,2473.46,NANCY_DREW,400fM,2.4E5,2.4E5
87,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,B,7,B7,2415.54,NANCY_DREW,400fM,2.4E5,2.4E5
88,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,B,7,B7,2442.35,NANCY_DREW,400fM,2.4E5,2.4E5
89,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,B,7,B7,2393.64,NANCY_DREW,400fM,2.4E5,2.4E5
