,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,RNAseT,gRNA,target,background_DNA,background_DNA_mass,hours,minutes,seconds,kit
74,00:00:00,C,17,8.295,c,AMP_standard,0.0390625,,,,,,,00,00,00,AMP
75,00:00:00,E,17,102.305,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,400ng,00,00,00,AMP
76,00:00:00,G,17,2422.146,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,400ng,00,00,00,AMP
77,00:00:00,I,17,4390.83,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,400ng,00,00,00,AMP
78,00:00:00,K,17,118.895,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,400ng,00,00,00,AMP
79,00:00:00,M,17,47.005,a,IS_gRNAs,,r17Ar3C,RNAseT,no_gRNA,IS1081_H6,none,none,00,00,00,AMP
80,00:00:00,N,17,27.65,b,IS_gRNAs,,r17Ar3C,RNAseT,no_gRNA,IS1081_H6,none,none,00,00,00,AMP
81,00:00:00,A,19,13.825,a,AMP_standard,0.0195312,,,,,,,00,00,00,AMP
82,00:00:00,B,19,24.885,b,AMP_standard,0.0195312,,,,,,,00,00,00,AMP
83,00:00:00,C,19,8.295,c,AMP_standard,0.0195312,,,,,,,00,00,00,AMP
84,00:00:00,E,19,85.715,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,40ng,00,00,00,AMP
85,00:00:00,G,19,5101.437,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,40ng,00,00,00,AMP
86,00:00:00,I,19,4985.307,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,40ng,00,00,00,AMP
87,00:00:00,K,19,141.015,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,40ng,00,00,00,AMP
88,00:00:00,M,19,30.415,a,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,no_target,none,none,00,00,00,AMP
89,00:00:00,N,19,38.71,b,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,no_target,none,none,00,00,00,AMP
90,00:00:00,A,21,19.355,a,AMP_standard,0.0097656,,,,,,,00,00,00,AMP
91,00:00:00,B,21,2.765,b,AMP_standard,0.0097656,,,,,,,00,00,00,AMP
92,00:00:00,C,21,11.06,c,AMP_standard,0.0097656,,,,,,,00,00,00,AMP
93,00:00:00,E,21,88.48,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,4ng,00,00,00,AMP
94,00:00:00,G,21,5059.962,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,4ng,00,00,00,AMP
95,00:00:00,I,21,4573.32,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,4ng,00,00,00,AMP
96,00:00:00,K,21,44.24,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,4ng,00,00,00,AMP
97,00:00:00,M,21,24.885,a,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS6110_A7,none,none,00,00,00,AMP
98,00:00:00,N,21,38.71,b,IS_gRNAs,,r17Ar3C,RNAseT,IS1081_H6,IS6110_A7,none,none,00,00,00,AMP
99,00:00:00,A,23,16.59,a,AMP_standard,0,,,,,,,00,00,00,AMP
100,00:00:00,B,23,13.825,b,AMP_standard,0,,,,,,,00,00,00,AMP
101,00:00:00,C,23,11.06,c,AMP_standard,0,,,,,,,00,00,00,AMP
102,00:00:00,E,23,82.95,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,0ng,00,00,00,AMP
103,00:00:00,G,23,5624.023,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,0ng,00,00,00,AMP
104,00:00:00,I,23,4388.065,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,0ng,00,00,00,AMP
105,00:00:00,K,23,85.715,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,0ng,00,00,00,AMP
106,00:00:00,M,23,11.06,a,IS_gRNAs,,r17Ar3C,no_RNAseT,IS1081_H6,IS1081_H6,none,none,00,00,00,AMP
107,00:00:00,N,23,16.59,b,IS_gRNAs,,r17Ar3C,no_RNAseT,IS1081_H6,IS1081_H6,none,none,00,00,00,AMP
108,00:10:00,A,1,26330.91,a,AMP_standard,10,,,,,,,00,10,00,AMP
109,00:10:00,B,1,25637.549,b,AMP_standard,10,,,,,,,00,10,00,AMP
110,00:10:00,C,1,23367.355,c,AMP_standard,10,,,,,,,00,10,00,AMP
111,00:10:00,E,1,4847.929,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,400ng,00,10,00,AMP
112,00:10:00,G,1,128.607,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,400ng,00,10,00,AMP
113,00:10:00,I,1,83.874,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,400ng,00,10,00,AMP
114,00:10:00,K,1,1551.673,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,400ng,00,10,00,AMP
115,00:10:00,M,1,53.12,a,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,IS6110_A7,none,none,00,10,00,AMP
116,00:10:00,N,1,75.487,b,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,IS6110_A7,none,none,00,10,00,AMP
117,00:10:00,A,3,8504.845,a,AMP_standard,5,,,,,,,00,10,00,AMP
118,00:10:00,B,3,8859.912,b,AMP_standard,5,,,,,,,00,10,00,AMP
119,00:10:00,C,3,8283.976,c,AMP_standard,5,,,,,,,00,10,00,AMP
120,00:10:00,E,3,4965.353,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,40ng,00,10,00,AMP
