,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,gRNA,target,cas12a,hours,minutes,seconds
130,130,00:20:00,C,17,430.154,c,alt-R_11C,50,IDT-Cas12a,00,20,00
131,131,00:20:00,D,17,4.0280000000000005,c,alt-R_11C,0,IDT-Cas12a,00,20,00
132,132,00:20:00,A,19,314.988,a,syn_11C,50,NEB-Cas12a,00,20,00
133,133,00:20:00,B,19,3.964,a,syn_11C,0,NEB-Cas12a,00,20,00
134,134,00:20:00,C,19,391.152,a,syn_11C,50,IDT-Cas12a,00,20,00
135,135,00:20:00,D,19,3.619,a,syn_11C,0,IDT-Cas12a,00,20,00
136,136,00:20:00,A,21,304.266,b,syn_11C,50,NEB-Cas12a,00,20,00
137,137,00:20:00,B,21,4.302,b,syn_11C,0,NEB-Cas12a,00,20,00
138,138,00:20:00,C,21,375.298,b,syn_11C,50,IDT-Cas12a,00,20,00
139,139,00:20:00,D,21,3.417,b,syn_11C,0,IDT-Cas12a,00,20,00
140,140,00:20:00,A,23,270.039,c,syn_11C,50,NEB-Cas12a,00,20,00
141,141,00:20:00,B,23,4.229,c,syn_11C,0,NEB-Cas12a,00,20,00
142,142,00:20:00,C,23,335.4980000000001,c,syn_11C,50,IDT-Cas12a,00,20,00
143,143,00:20:00,D,23,3.502,c,syn_11C,0,IDT-Cas12a,00,20,00
144,144,00:30:00,A,1,384.904,a,alt-R_11C,500,NEB-Cas12a,00,30,00
145,145,00:30:00,B,1,99.006,a,alt-R_11C,5,NEB-Cas12a,00,30,00
146,146,00:30:00,C,1,401.909,a,alt-R_11C,500,IDT-Cas12a,00,30,00
147,147,00:30:00,D,1,161.252,a,alt-R_11C,5,IDT-Cas12a,00,30,00
148,148,00:30:00,A,3,389.467,b,alt-R_11C,500,NEB-Cas12a,00,30,00
149,149,00:30:00,B,3,112.622,b,alt-R_11C,5,NEB-Cas12a,00,30,00
150,150,00:30:00,C,3,409.244,b,alt-R_11C,500,IDT-Cas12a,00,30,00
151,151,00:30:00,D,3,164.947,b,alt-R_11C,5,IDT-Cas12a,00,30,00
152,152,00:30:00,A,5,396.587,c,alt-R_11C,500,NEB-Cas12a,00,30,00
153,153,00:30:00,B,5,104.988,c,alt-R_11C,5,NEB-Cas12a,00,30,00
154,154,00:30:00,C,5,394.155,c,alt-R_11C,500,IDT-Cas12a,00,30,00
155,155,00:30:00,D,5,219.841,c,alt-R_11C,5,IDT-Cas12a,00,30,00
156,156,00:30:00,A,7,363.11800000000005,a,syn_11C,500,NEB-Cas12a,00,30,00
157,157,00:30:00,B,7,84.036,a,syn_11C,5,NEB-Cas12a,00,30,00
158,158,00:30:00,C,7,389.527,a,syn_11C,500,IDT-Cas12a,00,30,00
159,159,00:30:00,D,7,170.15,a,syn_11C,5,IDT-Cas12a,00,30,00
160,160,00:30:00,A,9,395.444,b,syn_11C,500,NEB-Cas12a,00,30,00
161,161,00:30:00,B,9,86.323,b,syn_11C,5,NEB-Cas12a,00,30,00
162,162,00:30:00,C,9,413.728,b,syn_11C,500,IDT-Cas12a,00,30,00
163,163,00:30:00,D,9,166.757,b,syn_11C,5,IDT-Cas12a,00,30,00
164,164,00:30:00,A,11,385.805,c,syn_11C,500,NEB-Cas12a,00,30,00
165,165,00:30:00,B,11,82.0,c,syn_11C,5,NEB-Cas12a,00,30,00
166,166,00:30:00,C,11,402.26,c,syn_11C,500,IDT-Cas12a,00,30,00
167,167,00:30:00,D,11,177.49200000000005,c,syn_11C,5,IDT-Cas12a,00,30,00
168,168,00:30:00,A,13,386.709,a,alt-R_11C,50,NEB-Cas12a,00,30,00
169,169,00:30:00,B,13,4.0710000000000015,a,alt-R_11C,0,NEB-Cas12a,00,30,00
170,170,00:30:00,C,13,402.082,a,alt-R_11C,50,IDT-Cas12a,00,30,00
171,171,00:30:00,D,13,3.807,a,alt-R_11C,0,IDT-Cas12a,00,30,00
172,172,00:30:00,A,15,384.918,b,alt-R_11C,50,NEB-Cas12a,00,30,00
173,173,00:30:00,B,15,4.022,b,alt-R_11C,0,NEB-Cas12a,00,30,00
174,174,00:30:00,C,15,391.706,b,alt-R_11C,50,IDT-Cas12a,00,30,00
175,175,00:30:00,D,15,3.975,b,alt-R_11C,0,IDT-Cas12a,00,30,00
176,176,00:30:00,A,17,407.527,c,alt-R_11C,50,NEB-Cas12a,00,30,00
177,177,00:30:00,B,17,4.095,c,alt-R_11C,0,NEB-Cas12a,00,30,00
178,178,00:30:00,C,17,416.735,c,alt-R_11C,50,IDT-Cas12a,00,30,00
179,179,00:30:00,D,17,3.75,c,alt-R_11C,0,IDT-Cas12a,00,30,00
180,180,00:30:00,A,19,343.9240000000001,a,syn_11C,50,NEB-Cas12a,00,30,00
181,181,00:30:00,B,19,3.832,a,syn_11C,0,NEB-Cas12a,00,30,00
