,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,hours,minutes,seconds
190,00:30:00,E,23,12.147,a,20uL,0,00,30,00
191,00:30:00,G,23,17.753,b,20uL,0,00,30,00
192,00:40:00,A,1,8793.71,a,100uL,10,00,40,00
193,00:40:00,C,1,12828.052,b,100uL,10,00,40,00
194,00:40:00,E,1,2419.858,a,20uL,10,00,40,00
195,00:40:00,G,1,3143.013,b,20uL,10,00,40,00
196,00:40:00,A,3,8240.599,a,100uL,5,00,40,00
197,00:40:00,C,3,8634.877,b,100uL,5,00,40,00
198,00:40:00,E,3,1474.339,a,20uL,5,00,40,00
199,00:40:00,G,3,1466.864,b,20uL,5,00,40,00
200,00:40:00,A,5,3350.429,a,100uL,2.5,00,40,00
201,00:40:00,C,5,3293.437,b,100uL,2.5,00,40,00
202,00:40:00,E,5,556.848,a,20uL,2.5,00,40,00
203,00:40:00,G,5,584.877,b,20uL,2.5,00,40,00
204,00:40:00,A,7,1115.564,a,100uL,1.25,00,40,00
205,00:40:00,C,7,1108.09,b,100uL,1.25,00,40,00
206,00:40:00,E,7,221.431,a,20uL,1.25,00,40,00
207,00:40:00,G,7,213.957,b,20uL,1.25,00,40,00
208,00:40:00,A,9,386.804,a,100uL,0.625,00,40,00
209,00:40:00,C,9,398.015,b,100uL,0.625,00,40,00
210,00:40:00,E,9,78.482,a,20uL,0.625,00,40,00
211,00:40:00,G,9,79.416,b,20uL,0.625,00,40,00
212,00:40:00,A,11,127.066,a,100uL,0.3125,00,40,00
213,00:40:00,C,11,147.621,b,100uL,0.3125,00,40,00
214,00:40:00,E,11,28.964,a,20uL,0.3125,00,40,00
215,00:40:00,G,11,48.584,b,20uL,0.3125,00,40,00
216,00:40:00,A,13,35.504,a,100uL,0.15625,00,40,00
217,00:40:00,C,13,44.847,b,100uL,0.15625,00,40,00
218,00:40:00,E,13,20.555,a,20uL,0.15625,00,40,00
219,00:40:00,G,13,19.62,b,20uL,0.15625,00,40,00
220,00:40:00,A,15,23.358,a,100uL,0.078125,00,40,00
221,00:40:00,C,15,24.292,b,100uL,0.078125,00,40,00
222,00:40:00,E,15,16.818,a,20uL,0.078125,00,40,00
223,00:40:00,G,15,14.015,b,20uL,0.078125,00,40,00
224,00:40:00,A,17,20.555,a,100uL,0.0390625,00,40,00
225,00:40:00,C,17,20.555,b,100uL,0.0390625,00,40,00
226,00:40:00,E,17,14.015,a,20uL,0.0390625,00,40,00
227,00:40:00,G,17,17.752,b,20uL,0.0390625,00,40,00
228,00:40:00,A,19,14.015,a,100uL,0.0195312,00,40,00
229,00:40:00,C,19,21.489,b,100uL,0.0195312,00,40,00
230,00:40:00,E,19,7.474,a,20uL,0.0195312,00,40,00
231,00:40:00,G,19,19.62,b,20uL,0.0195312,00,40,00
232,00:40:00,A,21,25.226,a,100uL,0.0097656,00,40,00
233,00:40:00,C,21,16.818,b,100uL,0.0097656,00,40,00
