,time,row_384,column_384,rfu_value,concentration,replicate
446,00:20:15,D,15,55.114,0,b
447,00:20:15,D,16,56.065,H20,b
448,00:21:00,D,1,64.59899999999999,10E-11,a
449,00:21:00,D,2,63.649,H20,a
450,00:21:00,D,3,71.249,10E-13,a
451,00:21:00,D,4,50.349,H20,a
452,00:21:00,D,5,88.349,10E-16,a
453,00:21:00,D,6,79.799,H20,a
454,00:21:00,D,7,80.749,0,a
455,00:21:00,D,8,71.249,H20,a
456,00:21:00,D,9,55.099,10E-11,b
457,00:21:00,D,10,66.499,H20,b
458,00:21:00,D,11,59.849,10E-13,b
459,00:21:00,D,12,65.54899999999999,H20,b
460,00:21:00,D,13,75.999,10E-16,b
461,00:21:00,D,14,57.949,H20,b
462,00:21:00,D,15,62.699,0,b
463,00:21:00,D,16,64.59899999999999,H20,b
464,00:21:45,D,1,85.382,10E-11,a
465,00:21:45,D,2,67.357,H20,a
466,00:21:45,D,3,63.562,10E-13,a
467,00:21:45,D,4,76.844,H20,a
468,00:21:45,D,5,73.997,10E-16,a
469,00:21:45,D,6,51.229,H20,a
470,00:21:45,D,7,56.92100000000001,0,a
471,00:21:45,D,8,65.459,H20,a
472,00:21:45,D,9,67.357,10E-11,b
473,00:21:45,D,10,64.51100000000001,H20,b
474,00:21:45,D,11,67.357,10E-13,b
475,00:21:45,D,12,55.023999999999994,H20,b
476,00:21:45,D,13,68.305,10E-16,b
477,00:21:45,D,14,67.357,H20,b
478,00:21:45,D,15,66.408,0,b
479,00:21:45,D,16,72.1,H20,b
480,00:22:30,D,1,84.512,10E-11,a
481,00:22:30,D,2,58.874,H20,a
482,00:22:30,D,3,71.218,10E-13,a
483,00:22:30,D,4,68.369,H20,a
484,00:22:30,D,5,82.613,10E-16,a
485,00:22:30,D,6,76.915,H20,a
486,00:22:30,D,7,68.369,0,a
487,00:22:30,D,8,87.361,H20,a
488,00:22:30,D,9,81.663,10E-11,b
489,00:22:30,D,10,54.126000000000005,H20,b
490,00:22:30,D,11,49.378,10E-13,b
491,00:22:30,D,12,65.521,H20,b
492,00:22:30,D,13,65.521,10E-16,b
493,00:22:30,D,14,59.823,H20,b
494,00:22:30,D,15,63.621,0,b
495,00:22:30,D,16,76.915,H20,b
496,00:23:15,D,1,74.124,10E-11,a
497,00:23:15,D,2,81.727,H20,a
498,00:23:15,D,3,83.627,10E-13,a
499,00:23:15,D,4,75.075,H20,a
500,00:23:15,D,5,62.721,10E-16,a
501,00:23:15,D,6,62.721,H20,a
502,00:23:15,D,7,53.217,0,a
503,00:23:15,D,8,68.422,H20,a
504,00:23:15,D,9,66.52199999999999,10E-11,b
505,00:23:15,D,10,61.77,H20,b
506,00:23:15,D,11,62.721000000000004,10E-13,b
507,00:23:15,D,12,80.77600000000001,H20,b
508,00:23:15,D,13,68.422,10E-16,b
509,00:23:15,D,14,73.17399999999999,H20,b
510,00:23:15,D,15,50.367,0,b
511,00:23:15,D,16,48.466,H20,b
512,00:24:00,D,1,76.045,10E-11,a
513,00:24:00,D,2,76.045,H20,a
514,00:24:00,D,3,71.293,10E-13,a
515,00:24:00,D,4,60.836,H20,a
516,00:24:00,D,5,59.886,10E-16,a
517,00:24:00,D,6,57.985,H20,a
518,00:24:00,D,7,68.441,0,a
519,00:24:00,D,8,65.589,H20,a
520,00:24:00,D,9,50.38,10E-11,b
521,00:24:00,D,10,52.281000000000006,H20,b
522,00:24:00,D,11,72.243,10E-13,b
523,00:24:00,D,12,57.034,H20,b
524,00:24:00,D,13,46.578,10E-16,b
525,00:24:00,D,14,65.589,H20,b
526,00:24:00,D,15,66.54,0,b
527,00:24:00,D,16,74.14399999999999,H20,b
528,00:24:45,D,1,87.54299999999999,10E-11,a
529,00:24:45,D,2,63.754,H20,a
530,00:24:45,D,3,82.785,10E-13,a
531,00:24:45,D,4,58.996,H20,a
532,00:24:45,D,5,69.463,10E-16,a
533,00:24:45,D,6,67.56,H20,a
534,00:24:45,D,7,56.141000000000005,0,a
535,00:24:45,D,8,62.802,H20,a
536,00:24:45,D,9,77.075,10E-11,b
537,00:24:45,D,10,58.044,H20,b
538,00:24:45,D,11,61.851000000000006,10E-13,b
539,00:24:45,D,12,64.705,H20,b
540,00:24:45,D,13,58.044,10E-16,b
541,00:24:45,D,14,56.141000000000005,H20,b
542,00:24:45,D,15,69.46300000000001,0,b
543,00:24:45,D,16,80.882,H20,b
544,00:25:30,D,1,85.596,10E-11,a
545,00:25:30,D,2,56.113,H20,a
546,00:25:30,D,3,58.015,10E-13,a
547,00:25:30,D,4,58.015,H20,a
548,00:25:30,D,5,66.575,10E-16,a
549,00:25:30,D,6,66.575,H20,a
550,00:25:30,D,7,64.673,0,a
551,00:25:30,D,8,62.771,H20,a
552,00:25:30,D,9,53.26,10E-11,b
553,00:25:30,D,10,58.015,H20,b
554,00:25:30,D,11,61.82,10E-13,b
555,00:25:30,D,12,78.939,H20,b
556,00:25:30,D,13,59.917,10E-16,b
557,00:25:30,D,14,57.06399999999999,H20,b
558,00:25:30,D,15,62.771,0,b
559,00:25:30,D,16,63.722,H20,b
560,00:26:15,D,1,95.986,10E-11,a
561,00:26:15,D,2,75.078,H20,a
562,00:26:15,D,3,75.078,10E-13,a
563,00:26:15,D,4,64.624,H20,a
564,00:26:15,D,5,58.922,10E-16,a
565,00:26:15,D,6,72.227,H20,a
566,00:26:15,D,7,61.773,0,a
567,00:26:15,D,8,68.426,H20,a
568,00:26:15,D,9,64.624,10E-11,b
569,00:26:15,D,10,66.525,H20,b
570,00:26:15,D,11,55.121,10E-13,b
571,00:26:15,D,12,63.674,H20,b
572,00:26:15,D,13,76.979,10E-16,b
573,00:26:15,D,14,68.426,H20,b
574,00:26:15,D,15,57.021,0,b
575,00:26:15,D,16,39.915,H20,b
576,00:27:00,D,1,62.96,10E-11,a
577,00:27:00,D,2,57.237,H20,a
578,00:27:00,D,3,60.099,10E-13,a
579,00:27:00,D,4,72.5,H20,a
580,00:27:00,D,5,61.053,10E-16,a
581,00:27:00,D,6,62.96,H20,a
582,00:27:00,D,7,65.822,0,a
583,00:27:00,D,8,61.053000000000004,H20,a
584,00:27:00,D,9,64.868,10E-11,b
585,00:27:00,D,10,76.316,H20,b
586,00:27:00,D,11,92.53299999999999,10E-13,b
587,00:27:00,D,12,62.006,H20,b
588,00:27:00,D,13,54.375,10E-16,b
589,00:27:00,D,14,53.42100000000001,H20,b
590,00:27:00,D,15,62.96,0,b
591,00:27:00,D,16,65.822,H20,b
592,00:27:45,D,1,77.041,10E-11,a
593,00:27:45,D,2,64.677,H20,a
594,00:27:45,D,3,60.872,10E-13,a
595,00:27:45,D,4,56.116,H20,a
596,00:27:45,D,5,76.09,10E-16,a
597,00:27:45,D,6,51.361,H20,a
598,00:27:45,D,7,63.725,0,a
599,00:27:45,D,8,58.97,H20,a
600,00:27:45,D,9,77.041,10E-11,b
601,00:27:45,D,10,52.312,H20,b
602,00:27:45,D,11,63.725,10E-13,b
603,00:27:45,D,12,56.11600000000001,H20,b
604,00:27:45,D,13,64.67699999999999,10E-16,b
605,00:27:45,D,14,52.312,H20,b
606,00:27:45,D,15,51.361000000000004,0,b
607,00:27:45,D,16,68.48100000000001,H20,b
608,00:28:30,D,1,83.682,10E-11,a
609,00:28:30,D,2,67.516,H20,a
610,00:28:30,D,3,69.418,10E-13,a
611,00:28:30,D,4,47.547,H20,a
612,00:28:30,D,5,65.614,10E-16,a
613,00:28:30,D,6,67.516,H20,a
614,00:28:30,D,7,63.711999999999996,0,a
615,00:28:30,D,8,64.663,H20,a
616,00:28:30,D,9,71.32,10E-11,b
617,00:28:30,D,10,80.829,H20,b
618,00:28:30,D,11,71.32,10E-13,b
619,00:28:30,D,12,54.203,H20,b
620,00:28:30,D,13,69.418,10E-16,b
621,00:28:30,D,14,72.271,H20,b
622,00:28:30,D,15,71.32,0,b
