,PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,Unnamed: 17,replicate,standard_conc,kit,sample_set,row_384,column_384
66,1,1.0,"=""=""""""""""""""""",1.0,B10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:07.531,2924.0,0.1,29240.0,,,water,water,water,water,B,10
68,1,1.0,"=""=""""""""""""""""",1.0,B11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:07.338,3720.0,0.1,37200.0,,,a,0,AMP,AMP_0_proximal,B,11
70,1,1.0,"=""=""""""""""""""""",1.0,B12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:07.144,1496.0,0.1,14960.0,,,water,water,water,water,B,12
72,1,1.0,"=""=""""""""""""""""",1.0,B13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:06.950,2884.0,0.1,28840.0,,,a,0,AMP,AMP_0_proximal,B,13
74,1,1.0,"=""=""""""""""""""""",1.0,B14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:06.757,892.0,0.1,8920.0,,,water,water,water,water,B,14
76,1,1.0,"=""=""""""""""""""""",1.0,B15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:06.563,2368.0,0.1,23680.0,,,a,0,AMP,AMP_0_proximal,B,15
78,1,1.0,"=""=""""""""""""""""",1.0,B16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:06.369,608.0,0.1,6080.0,,,water,water,water,water,B,16
80,1,1.0,"=""=""""""""""""""""",1.0,B17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:06.176,2112.0,0.1,21120.0,,,a,0,AMP,AMP_0_proximal,B,17
82,1,1.0,"=""=""""""""""""""""",1.0,B18,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:05.983,488.0,0.1,4880.0,,,water,water,water,water,B,18
84,1,1.0,"=""=""""""""""""""""",1.0,B19,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:05.789,2284.0,0.1,22840.0,,,a,0,AMP,AMP_0_proximal,B,19
86,1,1.0,"=""=""""""""""""""""",1.0,B20,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:05.595,472.0,0.1,4720.0,,,water,water,water,water,B,20
88,1,1.0,"=""=""""""""""""""""",1.0,B21,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:05.401,2876.0,0.1,28760.0,,,a,0,AMP,AMP_0_proximal,B,21
90,1,1.0,"=""=""""""""""""""""",1.0,B22,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:05.207,468.0,0.1,4680.0,,,water,water,water,water,B,22
92,1,1.0,"=""=""""""""""""""""",1.0,B23,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:05.014,2368.0,0.1,23680.0,,,a,0,AMP,AMP_0_proximal,B,23
94,1,1.0,"=""=""""""""""""""""",1.0,B24,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:04.821,284.0,0.1,2840.0,,,water,water,water,water,B,24
96,1,1.0,"=""=""""""""""""""""",1.0,C01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:09.531,358112.0,0.1,3581120.0,,,b,10,AMP,AMP_standard,C,01
98,1,1.0,"=""=""""""""""""""""",1.0,C02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:09.724,13564.0,0.1,135640.0,,,water,water,water,water,C,02
100,1,1.0,"=""=""""""""""""""""",1.0,C03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:09.918,188120.0,0.1,1881200.0,,,b,5,AMP,AMP_standard,C,03
102,1,1.0,"=""=""""""""""""""""",1.0,C04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:10.111,18212.0,0.1,182120.0,,,water,water,water,water,C,04
