,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate,reporter
101,101,00:20:00,B,4,3939.821,standard,5,standard,b,DNA-RNA-Luc
102,102,00:20:00,C,4,3776.27,target_added,,IVT_11C,a,DNA-RNA-Luc
103,103,00:20:00,D,4,3276.856,target_added,,IVT_11C,b,DNA-RNA-Luc
104,104,00:20:00,A,6,1784.455,standard,2.5,standard,a,DNA-RNA-Luc
105,105,00:20:00,B,6,1775.694,standard,2.5,standard,b,DNA-RNA-Luc
106,106,00:20:00,C,6,6030.934,target_added,,IVT_D9_3Cs,a,DNA-RNA-Luc
107,107,00:20:00,D,6,6168.199000000001,target_added,,IVT_D9_3Cs,b,DNA-RNA-Luc
108,108,00:20:00,A,8,683.408,standard,1.25,standard,a,DNA-RNA-Luc
109,109,00:20:00,B,8,747.66,standard,1.25,standard,b,DNA-RNA-Luc
110,110,00:20:00,C,8,148.94799999999995,target_added,,none,a,DNA-RNA-Luc
111,111,00:20:00,D,8,90.537,target_added,,none,b,DNA-RNA-Luc
112,112,00:20:00,A,10,341.704,standard,0.625,standard,a,DNA-RNA-Luc
113,113,00:20:00,B,10,324.181,standard,0.625,standard,b,DNA-RNA-Luc
114,114,00:20:00,C,10,140.186,no_cas12a,,syn_11C,a,DNA-RNA-Luc
115,115,00:20:00,D,10,61.332,no_cas12a,,syn_11C,b,DNA-RNA-Luc
116,116,00:20:00,A,12,140.186,standard,0.3125,standard,a,DNA-RNA-Luc
117,117,00:20:00,B,12,128.504,standard,0.3125,standard,b,DNA-RNA-Luc
118,118,00:20:00,C,12,1857.469,no_cas12a,,IVT_11C,a,DNA-RNA-Luc
119,119,00:20:00,D,12,1518.686,no_cas12a,,IVT_11C,b,DNA-RNA-Luc
120,120,00:20:00,A,14,113.901,standard,0.15625,standard,a,DNA-RNA-Luc
121,121,00:20:00,B,14,154.789,standard,0.15625,standard,b,DNA-RNA-Luc
122,122,00:20:00,C,14,2646.0170000000007,no_cas12a,,IVT_D9_3Cs,a,DNA-RNA-Luc
123,123,00:20:00,D,14,40.88800000000001,no_cas12a,,IVT_D9_3Cs,b,DNA-RNA-Luc
124,124,00:20:00,A,16,73.014,standard,0.078125,standard,a,DNA-RNA-Luc
125,125,00:20:00,B,16,87.616,standard,0.078125,standard,b,DNA-RNA-Luc
126,126,00:20:00,C,16,113.901,no_cas12a,,none,a,DNA-RNA-Luc
127,127,00:20:00,D,16,20.444000000000006,no_cas12a,,none,b,DNA-RNA-Luc
128,128,00:20:00,A,18,61.332,standard,0.0390625,standard,a,DNA-RNA-Luc
129,129,00:20:00,B,18,67.173,standard,0.0390625,standard,b,DNA-RNA-Luc
130,130,00:20:00,C,18,96.378,no_target,,syn_11C,a,DNA-RNA-Luc
131,131,00:20:00,D,18,75.934,no_target,,syn_11C,b,DNA-RNA-Luc
132,132,00:20:00,A,20,61.332,standard,0.0195312,standard,a,DNA-RNA-Luc
133,133,00:20:00,B,20,75.934,standard,0.0195312,standard,b,DNA-RNA-Luc
134,134,00:20:00,C,20,2079.431,no_target,,IVT_11C,a,DNA-RNA-Luc
135,135,00:20:00,D,20,1188.663,no_target,,IVT_11C,b,DNA-RNA-Luc
136,136,00:20:00,A,22,128.504,standard,0.0097656,standard,a,DNA-RNA-Luc
137,137,00:20:00,B,22,78.855,standard,0.0097656,standard,b,DNA-RNA-Luc
138,138,00:20:00,C,22,2467.864,no_target,,IVT_D9_3Cs,a,DNA-RNA-Luc
139,139,00:20:00,D,22,3571.832000000001,no_target,,IVT_D9_3Cs,b,DNA-RNA-Luc
140,140,00:20:00,A,24,61.332,standard,0,standard,a,DNA-RNA-Luc
141,141,00:20:00,B,24,75.934,standard,0,standard,b,DNA-RNA-Luc
142,142,00:20:00,C,24,169.392,no_target,,none,a,DNA-RNA-Luc
143,143,00:20:00,D,24,29.205,no_target,,none,b,DNA-RNA-Luc
144,144,00:30:00,A,2,7107.137,standard,10,standard,a,DNA-RNA-Luc
145,145,00:30:00,B,2,6096.436,standard,10,standard,b,DNA-RNA-Luc
146,146,00:30:00,C,2,199.211,target_added,,syn_11C,a,DNA-RNA-Luc
147,147,00:30:00,D,2,190.422,target_added,,syn_11C,b,DNA-RNA-Luc
148,148,00:30:00,A,4,4016.441,standard,5,standard,a,DNA-RNA-Luc
149,149,00:30:00,B,4,3793.793,standard,5,standard,b,DNA-RNA-Luc
150,150,00:30:00,C,4,3975.427,target_added,,IVT_11C,a,DNA-RNA-Luc
151,151,00:30:00,D,4,3231.316,target_added,,IVT_11C,b,DNA-RNA-Luc
152,152,00:30:00,A,6,1886.643,standard,2.5,standard,a,DNA-RNA-Luc
153,153,00:30:00,B,6,1924.728,standard,2.5,standard,b,DNA-RNA-Luc
154,154,00:30:00,C,6,5952.887,target_added,,IVT_D9_3Cs,a,DNA-RNA-Luc
155,155,00:30:00,D,6,5794.69,target_added,,IVT_D9_3Cs,b,DNA-RNA-Luc
156,156,00:30:00,A,8,911.096,standard,1.25,standard,a,DNA-RNA-Luc
157,157,00:30:00,B,8,849.575,standard,1.25,standard,b,DNA-RNA-Luc
158,158,00:30:00,C,8,131.83100000000002,target_added,,none,a,DNA-RNA-Luc
159,159,00:30:00,D,8,108.394,target_added,,none,b,DNA-RNA-Luc
160,160,00:30:00,A,10,386.703,standard,0.625,standard,a,DNA-RNA-Luc
161,161,00:30:00,B,10,407.21,standard,0.625,standard,b,DNA-RNA-Luc
162,162,00:30:00,C,10,178.704,no_cas12a,,syn_11C,a,DNA-RNA-Luc
163,163,00:30:00,D,10,90.817,no_cas12a,,syn_11C,b,DNA-RNA-Luc
164,164,00:30:00,A,12,166.986,standard,0.3125,standard,a,DNA-RNA-Luc
165,165,00:30:00,B,12,164.05599999999995,standard,0.3125,standard,b,DNA-RNA-Luc
166,166,00:30:00,C,12,2044.84,no_cas12a,,IVT_11C,a,DNA-RNA-Luc
167,167,00:30:00,D,12,1672.785,no_cas12a,,IVT_11C,b,DNA-RNA-Luc
168,168,00:30:00,A,14,143.549,standard,0.15625,standard,a,DNA-RNA-Luc
169,169,00:30:00,B,14,117.183,standard,0.15625,standard,b,DNA-RNA-Luc
170,170,00:30:00,C,14,2900.275,no_cas12a,,IVT_D9_3Cs,a,DNA-RNA-Luc
171,171,00:30:00,D,14,35.155,no_cas12a,,IVT_D9_3Cs,b,DNA-RNA-Luc
172,172,00:30:00,A,16,114.253,standard,0.078125,standard,a,DNA-RNA-Luc
173,173,00:30:00,B,16,117.183,standard,0.078125,standard,b,DNA-RNA-Luc
174,174,00:30:00,C,16,143.549,no_cas12a,,none,a,DNA-RNA-Luc
175,175,00:30:00,D,16,5.859,no_cas12a,,none,b,DNA-RNA-Luc
176,176,00:30:00,A,18,70.31,standard,0.0390625,standard,a,DNA-RNA-Luc
177,177,00:30:00,B,18,58.591,standard,0.0390625,standard,b,DNA-RNA-Luc
178,178,00:30:00,C,18,125.972,no_target,,syn_11C,a,DNA-RNA-Luc
179,179,00:30:00,D,18,41.014,no_target,,syn_11C,b,DNA-RNA-Luc
180,180,00:30:00,A,20,96.676,standard,0.0195312,standard,a,DNA-RNA-Luc
181,181,00:30:00,B,20,79.098,standard,0.0195312,standard,b,DNA-RNA-Luc
182,182,00:30:00,C,20,2525.29,no_target,,IVT_11C,a,DNA-RNA-Luc
183,183,00:30:00,D,20,1482.362,no_target,,IVT_11C,b,DNA-RNA-Luc
184,184,00:30:00,A,22,79.098,standard,0.0097656,standard,a,DNA-RNA-Luc
185,185,00:30:00,B,22,120.112,standard,0.0097656,standard,b,DNA-RNA-Luc
186,186,00:30:00,C,22,2589.74,no_target,,IVT_D9_3Cs,a,DNA-RNA-Luc
187,187,00:30:00,D,22,3503.766,no_target,,IVT_D9_3Cs,b,DNA-RNA-Luc
